Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,20849,0.0,61543,360.0,1.0,Urban,Y
LP001003,Male,Yes,1,Graduate,No,19583,1508.0,39595,360.0,1.0,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,18000,0.0,97938,360.0,1.0,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,17583,2358.0,28202,360.0,1.0,Urban,Y
LP001008,Male,No,0,Graduate,No,21000,0.0,75551,360.0,1.0,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,20417,4196.0,47889,360.0,1.0,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,17333,1516.0,55346,360.0,1.0,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,18036,2504.0,67435,360.0,0.0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,19006,1526.0,69134,360.0,1.0,Urban,Y
LP001020,Male,Yes,1,Graduate,No,27841,10968.0,24586,360.0,1.0,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,18200,700.0,35679,360.0,1.0,Urban,Y
LP001027,Male,Yes,2,Graduate,,17500,1840.0,42711,360.0,1.0,Urban,Y
LP001028,Male,Yes,2,Graduate,No,18073,8106.0,92662,360.0,1.0,Urban,Y
LP001029,Male,No,0,Graduate,No,16853,2840.0,90044,360.0,1.0,Rural,N
LP001030,Male,Yes,2,Graduate,No,16299,1086.0,90267,120.0,1.0,Urban,Y
LP001032,Male,No,0,Graduate,No,19950,0.0,45680,360.0,1.0,Urban,Y
LP001034,Male,No,1,Not Graduate,No,18596,0.0,61109,240.0,,Urban,Y
LP001036,Female,No,0,Graduate,No,18510,0.0,56895,360.0,0.0,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,19887,0.0,89479,360.0,1.0,Rural,N
LP001041,Male,Yes,0,Graduate,,17600,3500.0,28985,,1.0,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,22660,0.0,94463,360.0,0.0,Urban,N
LP001046,Male,Yes,1,Graduate,No,20955,5625.0,31471,360.0,1.0,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,17600,1911.0,90277,360.0,0.0,Semiurban,N
LP001050,,Yes,2,Not Graduate,No,18365,1917.0,38952,360.0,0.0,Rural,N
LP001052,Male,Yes,1,Graduate,,18717,2925.0,89444,360.0,,Semiurban,N
LP001066,Male,Yes,0,Graduate,Yes,24560,0.0,61634,360.0,1.0,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,17799,2253.0,47117,360.0,1.0,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,19226,1040.0,34112,360.0,1.0,Urban,Y
LP001086,Male,No,0,Not Graduate,No,16442,0.0,89815,360.0,1.0,Urban,N
LP001087,Female,No,2,Graduate,,18750,2083.0,84050,360.0,1.0,Semiurban,Y
LP001091,Male,Yes,1,Graduate,,19166,3369.0,67994,360.0,,Urban,N
LP001095,Male,No,0,Graduate,No,18167,0.0,74555,360.0,1.0,Urban,N
LP001097,Male,No,1,Graduate,Yes,19692,0.0,53718,360.0,1.0,Rural,N
LP001098,Male,Yes,0,Graduate,No,18500,1667.0,56279,360.0,1.0,Semiurban,Y
LP001100,Male,No,3+,Graduate,No,27500,3000.0,40970,360.0,1.0,Rural,N
LP001106,Male,Yes,0,Graduate,No,17275,2067.0,39844,360.0,1.0,Urban,Y
LP001109,Male,Yes,0,Graduate,No,16828,1330.0,29394,,0.0,Urban,N
LP001112,Female,Yes,0,Graduate,No,18667,1459.0,65507,360.0,1.0,Semiurban,Y
LP001114,Male,No,0,Graduate,No,19166,7210.0,62771,360.0,1.0,Urban,Y
LP001116,Male,No,0,Not Graduate,No,18748,1668.0,84467,360.0,1.0,Semiurban,Y
LP001119,Male,No,0,Graduate,No,18600,0.0,80026,360.0,1.0,Urban,N
LP001120,Male,No,0,Graduate,No,16800,1213.0,79086,360.0,1.0,Urban,Y
LP001123,Male,Yes,0,Graduate,No,17400,0.0,45754,360.0,,Urban,Y
LP001131,Male,Yes,0,Graduate,No,18941,2336.0,54637,360.0,1.0,Semiurban,Y
LP001136,Male,Yes,0,Not Graduate,Yes,19695,0.0,42034,,1.0,Urban,Y
LP001137,Female,No,0,Graduate,No,18410,0.0,28483,,1.0,Urban,Y
